S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
2867,Hyundai EON Era Plus,Gaborone,2038,15334,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.69
2868,Maruti Swift Dzire VDI,Dodoma,2033,69000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,5.75
2869,Volkswagen CrossPolo 1.5 TDI,Dodoma,2034,75160,Diesel,Manual,First,20.14 kmpl,1498 CC,88.5 bhp,5,,5.7
2870,Honda Amaze E i-Vtech,Harare,2034,44753,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.94
2871,Volkswagen Vento Petrol Highline AT,Gaborone,2032,53024,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,,4.29
2872,Maruti Wagon R Stingray VXI,Lusaka,2034,23840,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,3
2873,Volkswagen Polo 1.5 TDI Highline,Dodoma,2034,81298,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5,,6.5
2874,Volkswagen Polo Petrol Comfortline 1.2L,Arusha,2035,59000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5,,4.9
2875,Honda Amaze SX i-DTEC,Gaborone,2036,51806,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,5.4
2876,Audi A6 35 TDI Matrix,Nairobi,2034,56000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,59.38 River,24
2877,Tata Tigor 1.05 Revotorq XZ Option,Gaborone,2039,29279,Diesel,Manual,First,24.7 kmpl,1047 CC,69 bhp,5,,7.46
2878,Volkswagen Vento 1.5 TDI Highline AT,Gaborone,2037,33550,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,15.86 River,9.6
2879,Audi A6 35 TDI Matrix,Dodoma,2034,62000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,67.1 River,25
2880,Nissan Terrano XL 110 PS,Dodoma,2034,66000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5,,6.8
2881,Skoda Rapid 1.5 TDI AT Elegance,Harare,2036,46630,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,8.59
2882,Ford Figo Aspire 1.5 TDCi Trend,Dodoma,2036,72566,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,,5.29
2883,Tata Venture EX,Maputo,2031,51482,Diesel,Manual,First,15.42 kmpl,1405 CC,70 bhp,8,,2.5
2884,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Lilongwe,2031,90000,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,,13.9
2885,Toyota Fortuner 4x2 Manual,Arusha,2034,69000,Diesel,Manual,Second,13.0 kmpl,2982 CC,168.5 bhp,7,,20
2886,Honda City 1.5 V MT,Nairobi,2031,90000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5,,3.4
2887,Hyundai i20 Asta Option 1.2,Johannesburg,2035,39000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.5
2888,Volkswagen Vento Diesel Trendline,Dodoma,2032,110000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5,,3.65
2889,Ford Endeavour 2.5L 4X2 MT,Gaborone,2031,68022,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7,,5.86
2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Harare,2038,27852,Petrol,Automatic,First,14.8 kmpl,1497 CC,121.36 bhp,5,14.1 River,10.44
2891,Maruti Swift VDI BSIV,Kigali,2033,58291,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5,,5
2892,Hyundai i20 Sportz Diesel,Harare,2031,68439,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,3.37
2893,Toyota Innova 2.5 VX (Diesel) 8 Seater,Nairobi,2031,150000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,,6.95
2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Johannesburg,2038,14000,Diesel,Manual,First,21.5 kmpl,1497 CC,108.5 bhp,5,12.22 River,9.9
2895,Ford Figo Diesel Titanium,Dodoma,2032,71558,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,,3.3
2896,Porsche Panamera Diesel,Nairobi,2033,48000,Diesel,Automatic,Second,17.85 kmpl,2967 CC,300 bhp,4,,50.5
2897,Hyundai Creta 1.6 CRDi AT SX Plus,Arusha,2035,65800,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5,,12.5
2898,Audi A4 2.0 TDI Multitronic,Dodoma,2034,53000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,,20.5
2899,Mahindra XUV500 W8 4WD,Lusaka,2037,14600,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7,,14.5
2900,Isuzu MUX 4WD,Arusha,2037,34429,Diesel,Automatic,First,13.8 kmpl,2999 CC,174.57 bhp,7,33.68 River,20
2901,Maruti Swift Dzire VDI,Nairobi,2034,52000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,5.25
2902,Maruti Ciaz ZXi,Lusaka,2035,25470,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,5.9
2903,Hyundai EON Era Plus,Maputo,2033,22000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.6
2904,Mercedes-Benz E-Class 280 CDI,Lilongwe,2027,75000,Diesel,Automatic,First,11.0 kmpl,2987 CC,198.5 bhp,5,,11
2905,BMW 5 Series 2003-2012 520d,Maputo,2031,95995,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,5,,15.5
2906,Hyundai Grand i10 1.2 CRDi Sportz Option,Arusha,2037,26877,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,,5.75
2907,Jaguar XJ 3.0L Portfolio,Dodoma,2035,26000,Diesel,Automatic,First,14.47 kmpl,2993 CC,301.73 bhp,5,,75
2908,Maruti Swift Ldi BSIII,Lilongwe,2027,140000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5,,2
2909,Hyundai Santro Xing GLS,Dodoma,2028,95291,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5,,2.3
2910,Toyota Innova 2.5 V Diesel 8-seater,Dodoma,2029,135000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8,,8.2
2911,Hyundai i20 Sportz 1.2,Lusaka,2035,32000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,4.8
2912,Mercedes-Benz E-Class 280 CDI,Johannesburg,2028,68333,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,5,,8.5
2913,Ford Figo Diesel ZXI,Lilongwe,2031,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.9
2914,Toyota Corolla Altis 1.4 DG,Durban,2032,52100,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5,19.27 River,6.5
2915,Hyundai Grand i10 1.2 Kappa Sportz,Arusha,2038,10000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.96 River,5.85
2916,Jeep Compass 2.0 Limited 4X4,Harare,2039,6261,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,26.95 River,23.91
2917,Maruti Ignis 1.2 AMT Alpha,Harare,2039,3906,Petrol,Automatic,First,20.89 kmpl,1197 CC,81.80 bhp,5,7.96 River,7.36
2918,Toyota Fortuner 3.0 Diesel,Maputo,2034,55960,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,17.25
2919,Volkswagen Vento Diesel Highline,Arusha,2033,144000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,,7
2920,Toyota Innova Crysta 2.4 VX MT,Johannesburg,2037,38000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,23.06 River,17.65
2921,Ford Figo Diesel Celebration Edition,Arusha,2033,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.1 bhp,5,,2.5
2922,Toyota Platinum Etios 1.4 GXD,Dodoma,2035,150000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,5,9.58 River,6
2923,Mahindra Thar DI 4X4,Johannesburg,2038,2500,Diesel,Manual,First,18.06 kmpl,2523 CC,63 bhp,7,,8.25
2924,Land Rover Range Rover HSE Dynamic,Gaborone,2038,41661,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,,44.83
2925,BMW 3 Series 320d Highline,Nairobi,2031,64000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5,,10.5
2926,Hyundai Accent GLS,Kigali,2028,80000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5,,1.9
2927,Maruti Celerio ZXI AT,Arusha,2036,30000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5,,4.25
2928,Jaguar XF 2.2 Litre Luxury,Lilongwe,2034,43000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5,,26.5
2929,Audi A6 2.7 TDI,Kigali,2033,90000,Diesel,Automatic,Second,12.4 kmpl,2698 CC,179.5 bhp,5,,22.5
2930,Nissan Micra Diesel XV,Dodoma,2031,123880,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,3.3
2931,Honda Amaze S i-Vtech,Arusha,2035,42000,Petrol,Manual,Second,18.0 kmpl,1198 CC,86.7 bhp,5,,4.3
2932,Renault Duster 85PS Diesel RxL Option,Lilongwe,2032,79824,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,5.25
2933,Toyota Innova 2.5 G (Diesel) 8 Seater,Arusha,2035,75000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,,11.75
2934,Honda Amaze E i-Vtech,Durban,2034,72411,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.25
2935,Mercedes-Benz New C-Class C 250 CDI Elegance,Nairobi,2032,63000,Diesel,Automatic,First,14.94 kmpl,2143 CC,204 bhp,5,,14.22
2936,Toyota Etios Liva G,Lilongwe,2035,53713,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,,4.2
2937,Toyota Innova Crysta 2.8 GX AT 8S,Nairobi,2037,18000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,20.8 River,18.25
2938,Mercedes-Benz New C-Class 200 CDI Elegance,Kigali,2033,51000,Diesel,Manual,First,15.8 kmpl,2148 CC,170 bhp,5,,18.5
2939,Maruti Swift VXI BSIII,Lilongwe,2028,86700,Petrol,Manual,Second,16.1 kmpl,1298 CC,88.2 bhp,5,,2.4
2940,Maruti Baleno Alpha 1.3,Lusaka,2036,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,,6.5
2941,Hyundai Santro Xing GL Plus LPG,Dodoma,2034,56000,LPG,Manual,First,13.45 km/kg,1086 CC,62.1 bhp,5,,3.2
2942,Maruti Celerio VXI AT,Johannesburg,2035,33000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,3.99
2943,Ford Ecosport 1.5 DV5 MT Ambiente,Gaborone,2034,64394,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5.45
2944,Tata Manza Aura Quadrajet,Dodoma,2030,76000,Diesel,Manual,First,18.8 kmpl,1248 CC,90 bhp,5,,2.7
2945,Honda Jazz 1.5 SV i DTEC,Johannesburg,2036,48719,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,,6.25
2946,Mahindra XUV500 W8 2WD,Harare,2036,59711,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,13.28
2947,Nissan Micra Diesel XV Premium,Dodoma,2032,83000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,,3.7
2948,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Harare,2038,10714,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,39.51
2949,Tata Manza Aura Plus Quadrajet BS IV,Dodoma,2030,127510,Diesel,Manual,Second,19.0 kmpl,1248 CC,90 bhp,5,,1.4
2950,Maruti Swift VDI,Lusaka,2034,35010,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,3.5
2951,Maruti Swift Dzire 1.2 Lxi BSIV,Arusha,2032,75451,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,5,,3.78
2952,Tata Indigo eCS LS (TDI) BS-III,Maputo,2035,83000,Diesel,Manual,First,19.09 kmpl,1405 CC,69.01 bhp,5,,2.7
2953,Honda Amaze S i-Dtech,Lusaka,2033,38755,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.2
2954,Maruti Swift VXI BSIV,Nairobi,2036,30000,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5
2955,Maruti Ertiga ZDI,Lilongwe,2032,40000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,7
2956,Hyundai Grand i10 Era,Lusaka,2034,19500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5,,2.85
2957,Nissan Micra Active XV,Durban,2036,41000,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5,6.78 River,4.25
2958,Hyundai Grand i10 Asta Option,Kigali,2034,30000,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5,,4.9
2959,Jeep Compass 2.0 Sport,Dodoma,2037,37000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,19.91 River,16.9
2960,Volkswagen Polo Diesel Comfortline 1.2L,Nairobi,2034,62000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,4.25
2961,Honda Amaze S AT i-Vtech,Maputo,2035,42023,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5,,4.34
2962,BMW X3 xDrive20d Advantage Edition,Lusaka,2032,51001,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,5,,17
2963,BMW 3 Series 320d Luxury Line,Gaborone,2037,55389,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,,28.45
2964,Honda City V AT,Gaborone,2034,46728,Petrol,Automatic,First,15.6 kmpl,1497 CC,116.3 bhp,5,,6.15
2965,Mahindra Ssangyong Rexton RX5,Gaborone,2034,58995,Diesel,Manual,First,12.83 kmpl,2696 CC,162 bhp,7,,9.25
2966,Maruti Swift Dzire LDI,Nairobi,2035,37857,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,4.85
2967,Maruti Swift VDI BSIV,Arusha,2034,71000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,4.8
2968,Honda Brio S Option MT,Maputo,2032,49024,Petrol,Manual,First,18.4 kmpl,1198 CC,86.8 bhp,5,,2.3
2969,Hyundai Grand i10 Sportz,Johannesburg,2036,10770,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,4.75
2970,Tata Zest Quadrajet 1.3 75PS XM,Maputo,2037,72000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,8.93 River,5
2971,Hyundai EON Era Plus,Arusha,2035,91000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.5
2972,Hyundai i20 1.2 Spotz,Johannesburg,2037,14000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.95
2973,Volvo S60 D4 KINETIC,Nairobi,2034,48000,Diesel,Automatic,Second,9.0 kmpl,1984 CC,181 bhp,5,,16
2974,Ford Ecosport 1.5 DV5 MT Titanium Optional,Nairobi,2034,75136,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,6.15
2975,Maruti Ritz VXI,Dodoma,2034,32500,Petrol,Manual,Second,21.1 kmpl,1197 CC,85.80 bhp,5,,4.05
2976,Hyundai i20 1.4 CRDi Magna,Dodoma,2030,94500,Diesel,Manual,Second,21.9 kmpl,1396 CC,90 bhp,5,,3.1
2977,Maruti Dzire VXI,Dodoma,2033,34900,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.97 River,5.49
2978,Porsche Panamera 2010 2013 4S,Harare,2030,42400,Petrol,Automatic,Third,8.0 kmpl,4806 CC,394.3 bhp,4,,42.91
2979,Maruti Swift VDi BSIII W/ ABS,Arusha,2035,50000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,,5.7
2980,Honda Brio S MT,Lusaka,2034,35000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,2.85
2981,Chevrolet Beat LS,Kigali,2032,37000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5,,2.35
2982,Hyundai Creta 1.6 SX Plus Petrol Automatic,Harare,2038,32807,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5,,14.76
2983,Honda City ZX GXi,Maputo,2028,119000,Petrol,Manual,Second,17.7 kmpl,1497 CC,78 bhp,5,,2.25
2984,Maruti Ritz LXi,Johannesburg,2036,12000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,3.65
2985,Ford EcoSport 1.5 TDCi Trend,Nairobi,2036,46727,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,,7.25
2986,BMW 3 Series 320d,Dodoma,2030,73336,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5,,10.69
2987,Hyundai Verna 1.6 SX VTVT,Johannesburg,2034,9000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5,,5.5
2988,Toyota Innova 2.5 G4 Diesel 8-seater,Lilongwe,2025,240000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,8,,5.1
2989,Maruti Wagon R LXI,Johannesburg,2034,25422,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 River,3.25
2990,Maruti Ertiga VDI,Johannesburg,2038,14000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7,11.66 River,9.25
2991,Maruti Alto LXi BSIII,Dodoma,2028,66000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,,1.7
2992,Maruti A-Star Vxi,Gaborone,2030,55324,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.87
2993,BMW X5 3.0d,Kigali,2029,90000,Diesel,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5,,17.75
2994,Mahindra KUV 100 G80 K6 Plus 5Str,Lusaka,2037,43000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,7.35 River,4.5
2995,Hyundai i10 Magna AT,Kigali,2028,58483,Petrol,Automatic,Second,19.2 kmpl,1197 CC,80 bhp,5,,2.95
2996,Honda Civic 2006-2010 1.8 S AT,Maputo,2027,93000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,5,,2.6
2997,Hyundai i10 Sportz 1.2,Dodoma,2030,50000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3
2998,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Durban,2034,78616,Diesel,Automatic,Second,14.84 kmpl,2143 CC,170 bhp,5,,15.5
2999,Toyota Etios G,Maputo,2031,37000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5,,2.8
3000,Honda City 1.5 E MT,Lusaka,2030,54801,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,2.5
3001,Maruti Swift Dzire VDI,Kigali,2034,29000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,5.75
3002,Maruti Swift VXI,Maputo,2030,68000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,6.99 River,2.8
3003,Hyundai Verna 1.6 EX VTVT,Lusaka,2034,58000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,,4.59
3004,Maruti Ritz VDi,Maputo,2032,64290,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.65
3005,Toyota Fortuner 4x2 Manual,Johannesburg,2035,31000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,19.85
3006,Jeep Compass 2.0 Limited,Maputo,2038,16039,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,23.89 River,18.5
3007,Hyundai i20 Asta Option 1.2,Dodoma,2037,19860,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,6.95
3008,Maruti Wagon R LXI CNG,Nairobi,2034,48500,CNG,Manual,Second,26.6 km/kg,998 CC,58.16 bhp,5,,2.85
3009,Tata New Safari DICOR 2.2 EX 4x4 BS IV,Arusha,2032,75391,Diesel,Manual,First,13.93 kmpl,2179 CC,138 bhp,7,,3.75
3010,Maruti Swift Dzire LDi,Arusha,2028,78000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5,,2.3
3011,Tata Indigo eCS eLS BS IV,Lusaka,2036,78000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5,,2.3
3012,Maruti Swift LDI,Dodoma,2036,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.27 River,5.95
3013,Maruti Celerio VXI AT,Lusaka,2036,30000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,3.49
3014,BMW 5 Series 2013-2017 530d M Sport,Harare,2036,19254,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5,,47.7
3015,Volkswagen Polo 1.2 MPI Highline,Harare,2035,29651,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5,,6.43
3016,Tata Safari DICOR 2.2 LX 4x2,Kigali,2031,80000,Diesel,Manual,First,13.93 kmpl,2179 CC,138.03 bhp,7,,4.5
3017,Mini Cooper S Carbon Edition,Lusaka,2038,2971,Petrol,Automatic,First,13.6 kmpl,1598 CC,181 bhp,4,,39.75
3018,Ford Figo Petrol Titanium,Lusaka,2035,21400,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,4
3019,Honda City i DTEC V,Durban,2035,77000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,6.98
3020,Hyundai Tucson CRDi,Nairobi,2026,80000,Diesel,Manual,Second,12.6 kmpl,1991 CC,112 bhp,7,,1.75
3021,Skoda Laura Ambiente 2.0 TDI CR MT,Nairobi,2033,81755,Diesel,Manual,First,20.0 kmpl,1968 CC,108.5 bhp,5,,4.75
3022,Toyota Fortuner 3.0 Diesel,Dodoma,2036,99593,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,23.5
3023,Hyundai Verna 1.6 SX,Dodoma,2034,39791,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7.49
3024,Mahindra XUV500 W6 2WD,Dodoma,2035,113000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,10.85
3025,Renault KWID RXT,Johannesburg,2037,24000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,,3.5
3026,Hyundai i20 Asta 1.2,Kigali,2035,39000,Petrol,Manual,Second,18.6 kmpl,1197 CC,81.83 bhp,5,,6.3
3027,Honda City V AT,Kigali,2032,37000,Petrol,Automatic,First,15.6 kmpl,1497 CC,116.3 bhp,5,,6.75
3028,Ford Endeavour 3.2 Titanium AT 4X4,Harare,2037,61108,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,,28.88
3029,Skoda Superb Elegance 1.8 TSI AT,Gaborone,2036,61648,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,,14.23
3030,BMW 3 Series 320d Sport,Johannesburg,2032,37000,Diesel,Automatic,Third,22.69 kmpl,1995 CC,190 bhp,5,,15
3031,Maruti Ertiga VXI CNG,Johannesburg,2033,53000,CNG,Manual,First,22.8 km/kg,1373 CC,80.9 bhp,7,,5.8
3032,Maruti Ritz LDi,Arusha,2033,65000,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.75
3033,Hyundai Santro Xing XP,Arusha,2025,120000,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,,1.15
3034,Toyota Fortuner 3.0 Diesel,Arusha,2031,148009,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7,,12.75
3035,Maruti Swift Lxi BSIII,Johannesburg,2029,53001,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5,,1.95
3036,Tata Tigor 1.2 Revotron XT,Johannesburg,2038,22345,Petrol,Manual,First,20.3 kmpl,1199 CC,84 bhp,5,,4.95
3037,Honda City i VTEC CVT VX,Nairobi,2035,50000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,,8.25
3038,BMW 3 Series 320d,Dodoma,2033,48183,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5,,20.99
3039,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Dodoma,2030,93000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,5,,17.5
3040,Maruti Swift VDI,Gaborone,2035,53500,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.88 River,5.36
3041,Maruti Ertiga VXI,Nairobi,2034,17585,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7,,6.35
3042,Hyundai Verna 1.6 VTVT,Lusaka,2031,36226,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,,2.95
3043,Land Rover Discovery Sport TD4 HSE,Harare,2039,25899,Diesel,Automatic,First,12.63 kmpl,2179 CC,147.5 bhp,5,,55.7
3044,Hyundai Santro Xing GL,Lusaka,2029,60170,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5,,1.15
3045,Mercedes-Benz New C-Class C 220 CDI Style,Dodoma,2037,11200,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,37.5
3046,Hyundai i10 Magna 1.2,Gaborone,2037,49045,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4.07
3047,Volkswagen Polo Diesel Comfortline 1.2L,Lusaka,2032,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.99
3048,Maruti Vitara Brezza VDi Option,Nairobi,2037,40000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,,7.9
3049,Renault Duster 85PS Diesel RxL,Johannesburg,2036,36600,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,7.49
3050,Tata Indica Vista Aqua 1.3 Quadrajet,Arusha,2029,117000,Diesel,Manual,First,18.0 kmpl,1248 CC,75 bhp,5,,1.1
3051,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Nairobi,2036,16000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7,,56
3052,Hyundai Xcent 1.2 CRDi S,Johannesburg,2036,50000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,8.84 River,3.5
3053,Hyundai Verna CRDi SX ABS,Dodoma,2028,150000,Diesel,Manual,First,18.1 kmpl,1493 CC,110 bhp,5,,3
3054,Hyundai Verna 1.6 SX VTVT,Johannesburg,2034,11000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5,,6.1
3055,Ford Figo Petrol ZXI,Kigali,2030,102016,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,2.25
